/////////////////////////////////////////////////////////////////////////////////////////////////////
/////角色ー定义//////////

#CharTable
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//主人公	? 0～19 ?
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//
//　　　　　　　　　　　　　　　　　　※※　キャラ手帳の並びと合わせて、順を変更しました。　※※
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noTt|noUV		経	  |
//					 イ		  ??  ? レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  ? ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②		③
//	前				 名		  NO  ??ル			％＋＋		??? |STAN|noDW|noMV		％％数|NO％	NO％	NO％			説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|????|状態|予約		EPGPGcITEM % ITEM %	ITEM %			説明（６４文字）
//000 拉古那		 Ch_003l 001  0 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	19 01		红发的热血宝物猎人。\n驾驶爱机特里斯坦号四处旅行。
265 金属啫喱	 EN_265  311  3 13	S+K2	50  0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 87	由魔族精制而成的\n具有生命的液体金属。\n但含有大量对人体有害的物质。
266 弹簧蜥蜴		 EN_266  302  3 14	-----	0   0  0  	----|---*|----|----		0 0 0 ---- 0 ---- 0 ---- 88	极具弹力的蜥蜴型魔物。\n利用高超的运动能力\n从空中攻击猎物。
267 黄金蝙蝠	 EN_267  267  3 13	M2   	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 89	由于死者的怨念而凶暴化的蝙蝠。\n能发出麻痹神经的强力超音波。
268 森林岩背蛙	 EN_268  134  3 11	B2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 90	开始在陆地上生活的\n伪装成茶色岩石的岩背蛙。\n会从口中向敌人吐出体液。

269 变异壶怪	 EN_269  269  3 15	B2MH	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 91	变异了的壶怪。\n外表虽与普通壶怪一样，\n但能力相差悬殊。

272 高级大耳兽	 EN_208  208  3 18	-----	50  0  0    ----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 00	高级的大耳兽。\n外表虽与一般大耳兽一样，\n但是实力相差悬殊。

273 雪山食尸鸟		 EN_273  273  3 16	M2		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 92	吞食遇难者尸体的魔鸟。\n据说坚硬的喙可以用来\n捣碎死者的骨头。
274 雪貂	 EN_274  123  3 17	MH		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 93	有时会被附近的村民称\n为『妖精』的雪貂。\n其体色比白貂还要白。
275 雪山蛙	 EN_275  134  3 17	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 94	在寒冷季节活动的大型青蛙。\n融化的雪水在其后背上结冰，\n其强度不可小觑。
276 鬼火 EN_276  276  3 14	K+S4	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 95	生活在黑暗中的灵魂。\n吸取火属性魔法作为自身能源。
277 魔导兔斯基 EN_277  219  3 15	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 96	非常胆小的魔导兔斯基。\n会使用魔法阻止对手接近，\n趁机利用传送魔法逃跑。
278 攻城战车	 EN_278  131  3 16	B2		50  0  0 	*--*|--*-|----|----		0 0	0 ---- 0 ---- 0 ---- 97	魔族开发的攻击兵器。\n其攻防一体的冲锋攻击\n曾经攻陷过无数城镇。
279 月冥火	 EN_279  279  3 19	K+S4	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 98	在月之世界中丧命之人最后的下场。\n透过对生者的憎恨来保持其形态。
280 暗之恶魔		 EN_280  280  3 24	S2K+	100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 99	暗之元素的结晶体。\n可自由隐形，并使用\n暗之魔法攻敌不备。
281 神秘黑子	 EN_281  281  3 21	MxG4	100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 100	由完全免疫魔法的物质\n构成的神秘生命体。\n常使用魔法攻击四周敌人。

282 灯笼怪 EN_282  282  3 19	B2MH	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 21	伪装成内藏物品的灯笼的魔物。\n与欲望的地方就有此魔物存在。

302 飞跳蜥蜴		 EN_302  302  3 04	-----	0   0  0  	----|---*|----|----		0 0 0 ---- 0 ---- 0 ---- 103	总是像弹簧一样跳来跳去的\n奇特蜥蜴。几乎不会步行，\n只利用跳跃进行移动。
303 莫萨莫萨		 EN_303  303  3 12	-----	0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 104	紧急时会产下卵型炸弹的小型魔物。\n即便是自己也无法将之\n与真正的蛋区分清楚。
305 暴君龙虾		 EN_305  305  3 29	-----	200 0  0	---*|****|-*--|----		10 0	0 ---- 0 ---- 0 ---- 106	魔族改造小龙虾得到的\n强大生物兵器。但从其\n身上几乎看不出原来的形态。
309 重装食人魔	 EN_309  003  3 14	-----	0   0  0 	----|-*--|----|----		0 0	0 ---- 0 ---- 0 ---- 108	穿上铠甲提升防御力的食人魔。\n盔甲中非常闷热，似乎令人难以忍受。
311 蓝色啫喱	 EN_311  311  3 01	S+K2	0   0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 109	受其他魔物的邪气的影响\n而将灵魂寄宿于泉水中的魔物。\n其身上有股薄荷香味。
312 绿色啫喱	 EN_312  312  3 08	H+T2	25  0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 110	由土壤中腐烂的鳞茎所\n演变而来的魔物。\n闻上去有一股茶香。
313 魔导士		 EN_313  313  3 15	MHG2	0   0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 111	能自由使用传送\n与雷球魔法的魔导士。\n帽上的切口是其留的。
316 红色啫喱	 EN_316  316  3 09	K+S2	50  0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 112	在进行液态熔岩冷却实\n验时诞生的突然变异体。\n其身上散发出烧焦橡胶的臭气。
317 邪水龙	 EN_317  317  3 20	MHS+	200 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 113	人称『邪水龙』。\n能自由操纵其体力无穷无尽的水流。

// // 色も同じだけど特殊ver
289 兔斯基	 EN_219  289  3 15	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 199	？？？
290 万能女仆	 EN_229  290  3 13	B2		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 199	？？？
291 雌性大耳兽		 EN_250  291  3 07	-----	50  0  0    ----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 199	？？？

304	月之末裔	 EN_304  304  3 25	-----	0  0  0   	----|----|----|*---		0 0 0 ---- 0 ---- 0 ---- 105	从远古时代生存至今，\n完成了进化的强大古代生物。\n常以岩石炮弹攻击敌人。
307	★丧尸ＮＰＣ男 Ch_005Z 307  3 14	MxGxBx	0   0  0   	---*|****|--*-|----		0 0 0 ---- 0 ---- 0 ---- 0	？？？
308	★丧尸ＮＰＣ女 Ch_010  308  3 13	-----	0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 0	？？？

// 土俑党
// ほぼステータスアップのみ。ザコ連戦用
292 蒸汽战车	 EN_131  131  3 16	B2		0   0  0 	*--*|--*-|----|----		0 0	0 ---- 0 ---- 0 ---- 199		？？？
293 攻城战车	 EN_278  131  3 16	B2		0   0  0 	*--*|--*-|----|----		0 0	0 ---- 0 ---- 0 ---- 199	？？？
294 死之旅鼠	 EN_294  294  3 18	-----	75  0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 101	由大型魔鼠操纵的大车轮。\n\n
295 地狱女仆		 EN_229  295  3 19	B2		100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 199	？？？//人工智能方面有严重\n缺陷的女仆机器人。\n其行动总是出人意料。
297 钢铁大耳兽	 EN_297  297  3 20	K2		150 0  0  	---*|-**-|----|----		0 0	0 ---- 0 ---- 0 ---- 102	大耳兽制作的强力铁甲兵器。\n集当今『大耳兽科技』大成的作品。
298 陶貂	 EN_136  298  3 20	MH		100 0  0 	----|*--*|----|----		0 0	0 ---- 0 ---- 0 ---- 199	？？？
299 陶鸡	 Ch_498  299  3 20	H2T+	100 0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 199	？？？

////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//	前  |前方向無敵			後  |後方向無敵				上  |上方向無敵				??? |ノック????しない
//	強弾|敵弾き技無効		Down|ダウンしない			Up  |浮かない				STAN|食らいモーションしない
//	noIt|アイテムでない		noCL|クリップしない			mMAP|ミニマップ表示なし		noDW|
//	noUV|UVトラップ無視		noAr|風?水中トラップ無視	noEF|ダメージ他表示しない	noMV|固定
//
//属性書式	TSKH=地/水/火/風	MGB=魔法/剣/爆弾
//			+=吸収 x=無効 H=半減 2=二倍 4=四倍 9=一撃
//				例） MxK+G4B9 	魔法無効/火吸収/剣四倍/爆弾一撃
//
//					 フ		 モ			属性
//					 ァ		 ｜								前  |弾氷|noIt|noUV		経	  |
//					 イ		 ??	  ? レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		 ン	  ? ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②
//	前				 名		 NO	  ??ル			％＋＋		??? |STAN|noDW|noMV		％％数|NO％	NO％	年齢 icon+flag		説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|????|状態|予約		EPGPGcITEM % ITEM %	ITEM %		説明（６４文字）
//---	■■■敵■■■■ ------	 --- - --	-----	--- -- --	-------------------		- - - ---- - ---- - ---- -	------
// 中ボス
126 巨型蝴蝶		 EN_126  126  3 11	M2		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 11	非常凶猛的大型魔虫。\n会从口中发出引起旋风的魔法。
350 巨型蓝色啫喱　 EN_350  350  3 03	S+K2	250 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 114	由众多蓝色啫喱合体后形成的魔物。\n体型巨大，攻击力也很高。
351 高压水母	 EN_351  351  3 06	-----	250 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 115	食用了捡到的食物之后发生变异的水母\n其电压是电击水母的数十倍。
352 小型哥雷姆	 EN_352  352  3 05	-----	50  0  0   	----|----|----|----		10 0 0 ---- 0 ---- 0 ---- 116	使用制造哥雷姆剩余石材做出的魔物。\n即便如此，其气势也是不弱的。
353 大耳兽之王	 EN_353  353  3 15	-----	250 0  0   	---*|*--*|----|----		10 0 0 ---- 0 ---- 0 ---- 117	自称是大耳兽们的王。\n绝不背对敌人，逃跑时\n也是面朝敌人后退的。
354 食人鱼 EN_354  354  3 07	-----	250 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 118	疯狂捕食其他鱼类，\n体型大幅成长的剑鱼。\n其突击的威力也大大提升。
355 巨型钳蟹	 EN_355  355  3 08	-----	250 0  0  	-*-*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 119	超巨型的钳蟹。\n两只巨钳为它提供了\n最强的攻防能力。
357 巨型暗夜蝙蝠	 EN_357  357  3 04	M2   	200 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 120	积蓄了足够大的暗黑力量的巨型蝙蝠。\n其擅长使用的超声波能轻松将人击退。
358 恐怖毒菇	 EN_358  358  3 10	-----  	200 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 121	吸收大量孢子后巨大化的恐怖蘑菇。\n会散播大量带毒孢子。
360 巨型科罗尼 EN_360  360  3 12	B2		200 0  0 	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 122	内含火焰结晶体的巨型科罗尼。\n其受到攻击就会喷出巨型火球。
361 巨型红色啫喱 EN_361  361  3 11	K+S2	100 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 123	由众多红色啫喱合体后形成的魔物。\n与其体重不符的是动作非常迅速。
362 大火鸡	 EN_362  362  3 16	S2K+	200 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 124	以传说中的火焰鸟为目标的胖火鸡。\n性格非常凶暴。
364 巨型壶怪	 EN_364  364  3 18	B2MH--	200 0  0 	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 125	极其巨大的壶怪。\n体内有一个稍微\n小一些的同类。
365 莫萨莫萨之王 EN_303  365  3 13	------	0   0  0   	----|----|----|----		10 0 0 ---- 0 ---- 0 ---- 126	莫萨莫萨的突然变异种。\n会以超高频率产下卵型炸弹。
366 超级蠕虫	 	 EN_204  366  3 13	------	200 0  0   	---*|****|----|----		10 0 0 ---- 0 ---- 0 ---- 127	幸运地避开了天敌，\n生存很长时间后的蠕虫型态。\n很快就能完成下一次进化。
367 大型衍生壶怪	 EN_367  364  3 18	B2MH--	100 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ---- 128	较大的壶怪。\n体内有一个稍微\n小一些的同类。
368 特殊衍生壶怪	 EN_368  364  3 18	B2MH--	0 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ----   0	特殊的壶怪。\n体内有一个稍微\n小一些的同类。
369 小型衍生壶怪	 EN_369  369  3 18	B2MH--	-50 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ----   0	极小的壶怪。\n但是体内啥都没有。
370 温泉朱雀	 EN_111  370  3 18	MH----	200 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ---- 131	在星降之里的温泉中长大的朱雀。\n扇动翅膀足以引发飓风。
371 巨型雪人	 EN_371  371  3 18	MH----	200 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ---- 132	沉睡在深山中的雪人。\n因感觉到大陆的异常感而苏醒。
372 小型灯笼怪	 EN_372  372  3 18	B2MH--	50  0  0   	----|----|----|----		 0 0 0 ---- 0 ---- 0 ---- 133	伪装成小型灯笼的魔物。\n一般攻击很难命中到它。
373 ★虚弱假？	 EN_373  373  3 01	------	0	0	0	----|----|----|----		 0 0 0 ---- 0 ---- 0 ----   0	？？？
374 ★無双假？	 EN_373  374  3 01	GxMxKx	100	0 9999	----|----|----|----		 0 0 0 ---- 0 ---- 0 ----   0	？？？

// イベント戦闘用
379 ★昴分身	 Ch_020  379  3 17	Bx---	-60 0  0 	---*|***-|**--|----		0 0	0 ---- 0 ---- 0	---- 0		拉古那に弟子入りした忍びの子。\n一生懸命だが、腕はまだまだ未熟。
380	★企鹅娘分身	 Ch_081  380  3 30	Bx---	-80 0  0 	---*|****|**--|----		0 0	0 ---- 0 ---- 0	---- 0		某所に出没する拉客的宣传企鹅。\n色々間違っていても気付いてない。
381 うぃざーど		 EN_313  313  3 15	MHG2	0   0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 0		？？？
382 雪山食尸鸟		 EN_273  273  3 14	MHG2	0   0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 0		？？？
383 影法师		 EN_313  383  3 01	-----	200 4  0  	----|-**-|*---|----		0 0 0 ---- 0 ---- 0 ---- 0		艾尔雯召唤出来的影法师。\n是为了考验拉古那的实力。
384 ★操怀森村長 Ch_065  384  3 13	MxGxBx	0  50  0 	*---|--*-|*-*-|----		0 0 0 ---- 0 ---- 0 ---- 0		ロアルタ村の村長を務める老人。\n被扎哈鲁所操纵に操られている。
385 ★操拉乌妮		 Ch_066  385  3 13	MxGxBx	0  50  0 	*---|--*-|*-*-|----		0 0 0 ---- 0 ---- 0 ---- 0		村の生き字引的お婆ちゃん。\n扎哈鲁に操られている。
386 ★操巴兰		 Ch_067  386  3 13	MxGxBx	0  50  0 	*---|--*-|*-*-|----		0 0 0 ---- 0 ---- 0 ---- 0		村で誠実に働く心優しい青年。\n扎哈鲁に操られている。
387 ★操阿鲁贝尔	 Ch_068  387  3 13	MxGxBx	0  50  0 	*---|--*-|*-*-|----		0 0 0 ---- 0 ---- 0 ---- 0		農作業を行う几帳面なおじさん。\n扎哈鲁に操られている。
388 ★操玛莎		 Ch_069  388  3 13	MxGxBx	0  50  0 	*---|--*-|*-*-|----		0 0 0 ---- 0 ---- 0 ---- 0		農作業を行う穏やかなおばさん。\n扎哈鲁に操られている。
389 ★操菲德瑞卡	 Ch_070  389  3 13	MxGxBx	0  50  0 	*---|--*-|*-*-|----		0 0 0 ---- 0 ---- 0 ---- 0		村で家畜の世話をするお姉さん。\n扎哈鲁に操られている。

//	前  |前方向無敵			後  |後方向無敵				上  |上方向無敵				??? |ノック????しない
//	強弾|敵弾き技無効		Down|ダウンしない			Up  |浮かない				STAN|食らいモーションしない
//	傾き|マップ傾斜で傾く	noCL|クリップしない			mMAP|ミニマップ表示なし		noDW|
//	noUV|UVトラップ無視		noAr|風?水中トラップ無視	noEF|ダメージ他表示しない	noMV|固定
//
//属性書式	TSKH=地/水/火/風	MGB=魔法/剣/爆弾
//			+=吸収 x=無効 H=半減 2=二倍 4=四倍 9=一撃
//				例） MxK+G4B9 	魔法無効/火吸収/剣四倍/爆弾一撃
//
//					 フ		 モ			属性
//					 ァ		 ｜								前  |弾氷|傾き|noUV		経	  |
//					 イ		 ??	  ? レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		 ン	  ? ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②
//	前				 名		 NO	  ??ル			％＋＋		??? |STAN|noDW|noMV		％％数|NO％	NO％	年齢 icon+flag		説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字）  FILE		Mot	T	LV	属性	HP  OP DP	防御|????|状態|予約		EPGPGcITEM % ITEM %	ITEM %		説明（６４文字）
// 竞技场
390	莫里斯		 Ch_054	390	3	4	Bx---	200 0  0 	---*|-**-|**--|----		0 21 0 ---- 0 ---- 0	---- 0	X
391	昴		 Ch_020	391	3	17	Bx---	250 0  0 	---*|***-|**--|----		0 20 0 ---- 0 ---- 0	---- 0	X
392	奥迪莎		 Ch_019	392	3	7	Bx---	200 0  0 	---*|***-|**--|----		0 21 0 ---- 0 ---- 0	---- 0	X
393	菲欧娜		 Ch_017	393	3	20	Bx---	300 0  0 	---*|***-|**--|----		0 20 0 ---- 0 ---- 0	---- 0	X
394	管家克罗德	 Ch_018	394	3	23	Bx---	300 0  0 	---*|***-|**--|----		0 21 0 ---- 0 ---- 0	---- 0	X
395	魔女拉莱拉	 Ch_023	023	3	1	Bx---	200 0  0 	---*|***-|**--|----		0 21 0 ---- 0 ---- 0	---- 0	X
396	布库尔		 Ch_001	396	3	11	Bx---	200 0  0 	---*|***-|**--|----		0 20 0 ---- 0 ---- 0	---- 0	X
397	皮皮洛		 ch_002	397	3	13	BxMH-	200 0  0 	---*|***-|**--|----		0 20 0 ---- 0 ---- 0	---- 0	X
398	嘉兰多		 Ch_021	398	3	27	Bx---	300 0  0 	---*|***-|**--|----		0 22 0 ---- 0 ---- 0	---- 0	X
399	宣传企鹅娘 Ch_081	399	3	30	Bx---	400 10 20 	---*|***-|**--|----		0 44 0 ---- 0 ---- 0	---- 0	X

//敵 		? 400～499 ?ＢＯＳＳ
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//	前  |前方向無敵			後  |後方向無敵				上  |上方向無敵				??? |ノック????しない
//	強弾|敵弾き技無効		Down|ダウンしない			Up  |浮かない				STAN|食らいモーションしない
//	noIt|アイテムでない		noCL|クリップしない			mMAP|ミニマップ表示なし		noDW|
//	noUV|UVトラップ無視		noAr|風?水中トラップ無視	noEF|ダメージ他表示しない	noMV|固定
//
//属性書式	TSKH=地/水/火/風	MGB=魔法/剣/爆弾
//			+=吸収 x=無効 H=半減 2=二倍 4=四倍 9=一撃
//				例） MxK+G4B9 	魔法無効/火吸収/剣四倍/爆弾一撃
//
//					 フ		 モ			属性
//					 ァ		 ｜								前  |弾氷|noIt|noUV		経	  |
//					 イ		 ??	 ? レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		 ン	 ? ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②
//	前				 名		 NO	 ??ル			％＋＋		??? |STAN|noDW|noMV		％％数|NO％	NO％	年齢 icon+flag		説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot T LV	属性	HP  OP DP	防御|????|状態|予約		EPGPGcITEM % ITEM %	ITEM %		説明（６４文字）
//- ■■■敵■■■■ ------	 --- - --	-----	--- -- --	-------------------		- - - ---- - ---- - ---- -	------
---	■■ＢＯＳＳ■■ ------  --- - --	-----	--- -- --	-------------------		- - - ---- - ---- - ---- -	------
401 深渊妖花	 BS_401  401  3 11	BxK2	200 8  0 	---*|****|***-|**-*		10	0	0	---- 0	---- 0	---- 134	直接捕食野兽的深渊妖花。\n常用无数的藤蔓捕食猎物。
402 艾菲梅尔加	 BS_402  402  3 6	BxMHG2	1500 0 0 	---*|****|***-|----		10	0	0	---- 0	---- 0	---- 135	生活在湖中的巨型水栖魔兽。\n会吐出强酸性的体液攻击敌人。
403 阿库瑟罗布	 BS_403  403  3 4	BxGxMxKx 100 0 9999	---*|****|**--|----		10	0	0	---- 0	---- 0	---- 136	在废坑深处作巢的巨型魔蜘蛛。\n六条粗重的腿足以撼动大地。
405 嘉鲁卡利昂	 BS_405  405  3 19	-----	400	8  0 	---*|****|**--|----		10	0	0	---- 0	---- 0	---- 137	守护『月·异世界』钥匙的岩石\n神龙。掌中握有能够产生雷电的魔石。
407 法布尼尔	 BS_407  407  3 12	-----	999	8  0 	---*|****|**--|----		10	0	0	---- 0	---- 0	---- 138	高级魔族所驾驭的火龙。\n能在空中喷出巨大的火球，\n将地面上的一切燃烧殆尽。
408 魔王米娅		 BS_408  408  3 30	-----	800	8  0 	---*|****|**--|----		10	0	0	---- 0	---- 0	----   0	？？？
409 真·扎哈鲁		 BS_406  406  3 25	Gx		600	8  0 	---*|****|**--|----		10	0	0	---- 0	---- 0----   139	吸血鬼扎哈鲁真正的姿态。\n使用其巨大的魔力不断\n施放强力魔法。

410 魔王路西昂	 BS_408  410  3 10	-----	999	8  0 	---*|****|**--|----		10	0	0	---- 0	---- 0	---- 140	背叛光与暗之女神的６位\n堕天使中的一员。通过\n夺取米娅的身体而再度复活。


420 ★サバディアン	 EN_420  420  3 04	MHG2	200 0  0   	----|----|*---|----		0 	0 	0 	---- 0 	---- 0 	---- 0		全身刃物アリジゴクボスyou
421 ★球石（可破坏） obx0614  -1  2 01	-----	15	0	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
//EN_168
---	＿＿＿＿＿＿＿＿ ------	---	-	--	-----	--- -- --	-------------------		- - -	---- -	---- -	---- -	------
451 地之龙立方体石	 BS_451  451  3 10	-----	999	8  0 	---*|****|***-|----		0	0	0	---- 0	---- 0	---- 0		？？？
453 地之龙圆柱石	 BS_453  453  3 10	-----	999	8  0 	---*|****|***-|----		0	0	0	---- 0	---- 0	---- 0		？？？
454 地之龙茂み		 BS_454  454  3 1	-----	1	0  0 	---*|****|***-|***-		0	0	0	---- 0	---- 0	---- 0		？？？

450 植物波士触手左１ BS_450  450  3 11	K2		0	0  0 	---*|****|***-|**-*		10	0	0	---- 0	---- 0	---- 0		？？？
455 植物波士触手左２ BS_450  455  3 11	K2		0	0  0 	---*|****|***-|**-*		10	0	0	---- 0	---- 0	---- 0		？？？
456 植物波士触手左３ BS_450  456  3 11	K2		50	0  0 	---*|****|***-|**-*		10	0	0	---- 0	---- 0	---- 0		？？？
457 植物波士触手左４ BS_450  457  3 11	K2		0	0  0 	---*|****|***-|**-*		10	0	0	---- 0	---- 0	---- 0		？？？
458 植物波士触手右１ BS_450  458  3 11	K2		0	0  0 	---*|****|***-|**-*		10	0	0	---- 0	---- 0	---- 0		？？？
459 植物波士触手右２ BS_450  459  3 11	K2		0	0  0 	---*|****|***-|**-*		10	0	0	---- 0	---- 0	---- 0		？？？
460 植物波士触手右３ BS_450  460  3 11	K2		50	0  0 	---*|****|***-|**-*		10	0	0	---- 0	---- 0	---- 0		？？？
461 植物波士触手右４ BS_450  461  3 11	K2		0	0  0 	---*|****|***-|**-*		10	0	0	---- 0	---- 0	---- 0		？？？

462 蜘蛛脚ＴＧ用 	 BS_452  452  3 4	Mx		200	0  0 	---*|****|**--|**--		0	0	0	---- 0	---- 0	---- 0		？？？
463 黑龙			 BS_407b 463  3 10	-----	999	8  0 	---*|****|**--|----		10	0	0	---- 0	---- 0	---- 0		？？？
464 白龙			 BS_407c 463  3 10	-----	999	8  0 	---*|****|**--|----		10	0	0	---- 0	---- 0	---- 0		？？？
*/

//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//////////////////////////////////////////////////////////////////////
// //敵 		? 100～199 ?? 200～299 ?? 300～399 ?

//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//	前  |前方向無敵			後  |後方向無敵				上  |上方向無敵				??? |ノック????しない
//	強弾|敵弾き技無効		Down|ダウンしない			Up  |浮かない				STAN|食らいモーションしない
//	noIt|アイテムでない		noCL|クリップしない			mMAP|ミニマップ表示なし		noDW|
//	noUV|UVトラップ無視		noAr|風?水中トラップ無視	noEF|ダメージ他表示しない	noMV|固定
//
//属性書式	TSKH=地/水/火/風	MGB=魔法/剣/爆弾
//			+=吸収 x=無効 H=半減 2=二倍 4=四倍 9=一撃
//				例） MxK+G4B9 	魔法無効/火吸収/剣四倍/爆弾一撃
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noIt|noUV		経	  |
//					 イ		  ??  ? レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  ? ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②
//	前				 名		  NO  ??ル			％＋＋		??? |STAN|noDW|noMV		％％数|NO％	NO％	年齢 icon+flag		説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|????|状態|予約		EPGPGcITEM % ITEM %	ITEM %		説明（６４文字）
//---	■■■敵■■■■ ------	 --- - --	-----	--- -- --	-------------------		- - - ---- - ---- - ---- -	------
//050 猫			 EN_050  050  4 06	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 0	？？？

//废坑ザコ12
311 蓝色啫喱	 EN_311  311  3 01	S+K2	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----  109	受其他魔物的邪气的影响\n而将灵魂寄宿于泉水中的魔物。\n其身上有股薄荷香味。
214 暗夜蝙蝠		 EN_214  214  3 02	M2		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   58	潜伏于黑暗中的蝙蝠魔物。\n其超音波会让人觉得很不舒服。
